,titulo,clasificacion,duracion,genero,año,tipo_de_audio,sinopsis
29,Crímenes ocultos online,SAM16,137 MIN,"CRIMEN, DRAMA",2015,SONIDO ENVOLVENTE 5.1,Un agente soviético caído en desgracia descubre una conexión entre una serie de asesinatos infantiles y el líder de un partido. Those who seek the truth will be silenced. Basada en una novela de Tom
30,Halloween III: El imperio de las brujas online,SAM16,97 MIN,"DE TERROR, MISTERIO",1982,ESTÉREO,Un malvado fabricante de juguetes planea vender millones de máscaras que matarán a todos los niños que las usen la noche de Halloween.
31,Halloween II online,SAM16,92 MIN,DE TERROR,1981,ESTÉREO,"El desquiciado asesino Michael Myers regresa, y está mucho más decidido a asesinar a Laurie Strode. Mientras tanto, ella intenta descubrir la verdad de sus ansias de matarla, y finalmente descubre un"
32,Whiplash: Música y obsesión online,SAM16,106 MIN,"MÚSICA, DRAMA",2014,SONIDO ENVOLVENTE 5.1,"El objetivo de Andrew Neiman, un joven y ambicioso baterista de jazz, es triunfar en el elitista Conservatorio de Música de la Costa Este en el que estudia. Marcado por el fracaso de la carrera"
33,De Tyler Perry: ¿Por qué nos casamos? online,SAM13,118 MIN,DRAMA,2007,ESTÉREO,"Un grupo de amigos universitarios casados van a Colorado para su reunión anual de una semana. Superficialmente, parece que será como todas las reuniones anteriores que han tenido a lo largo de los"
34,Horizonte profundo online,SAM13,107 MIN,"ACCIÓN, DRAMA",2016,SONIDO ENVOLVENTE 5.1,"Horizonte profundo es una historia llena de heroísmo y acción, basada en los hechos reales que sucedieron en la plataforma de Deepwater Horizon en el Golfo de México en 2010. La historia narra la"
35,12 Horas online,SAM13,94 MIN,"DRAMA, THRILLER PSICOLÓGICO",2012,SONIDO ENVOLVENTE 5.1,"Hace un año, Jill Parrish sobrevivió al secuestro de un asesino en serie. Cuando llega a casa luego de un turno nocturno descubre que su hermana Molly ha sido secuestrada, y está convencida de que el"
36,Lugares oscuros online,SAM16,113 MIN,"CRIMEN, MISTERIO",2015,SONIDO ENVOLVENTE 5.1,"Charlize Theron, Nicholas Hoult, Cholë Grace Moretz y Christina Hendricks protagonizan este thriller de misterio, basado en la novela de Gillian Flynn (Perdida)."
37,Si no despierto online,SAM13,98 MIN,DRAMA,2017,SONIDO ENVOLVENTE 5.1,"Samantha Kingston (Zoey Deutch), una preparatoriana a punto de graduarse, que lo tiene todo. El 12 de Febrero es sólo otro venturoso día en la vida de Sam hasta que se ve atascada reviviéndolo"
38,Dune online,SAM13,136 MIN,"DE CULTO, DRAMA",1984,ESTÉREO,Ésta es la saga del guerrero Intergaláctico Paul Atreides y su ascenso mesiánico para conducir a su pueblo en su lucha por la supervivencia.
39,Peligro en Bangkok online,SAM16,99 MIN,"ACCIÓN, CRIMEN",2008,SONIDO ENVOLVENTE 5.1,"Joe (Nicolas Cage) es un asesino profesional que llega a Bangkok para atender algunos asuntos. Inesperadamente se encuentra entrenando a una joven alumna. Luego, se enamora de una mujer que no tiene"
