,titulo,clasificacion,duracion,genero,año,tipo_de_audio,sinopsis
63,El sabotaje online,SAM16,109 MIN,"ACCIÓN, CRIMEN",2014,SONIDO ENVOLVENTE 5.1,"Un equipo de élite de la agencia antidroga norteamericana (DEA) aprovecha una operación contra un cártel para apoderarse de un botín de varios millones de dólares; poco después, alguien empieza a"
64,La cabaña online,SAM13,132 MIN,DRAMA,2017,SONIDO ENVOLVENTE 5.1,"A raíz de una tragedia personal, Mackenzie Allen Phillips recibe una nota misteriosa invitándolo a “La cabaña.” Mack acude y se ve envuelto en la catarsis de redescubrir la verdad sobre el amor, la"
65,Un paso adelante online,SAM13,103 MIN,"CRIMEN, DRAMA",2006,SONIDO ENVOLVENTE 5.1,Tyler Gage (Channing Tatum) creció en las duras calles de Baltimore. Un roce con la ley obliga a Tyler a realizar servicio comunitario en la Escuela de artes de Maryland de la ciudad. Allí conoce a
66,Lo que pasó recién online,SAM16,103 MIN,"COMEDIA, DRAMA",2008,ESTÉREO,Un desesperado productor de películas intenta revivir su carrera moribunda y mantener su dignidad mientras lucha por lograr realizar su película durante un lapso de dos semanas.
67,La maldición de Blackwood online,SAM13,96 MIN,"DRAMA, FANTASÍA",2018,SONIDO ENVOLVENTE 5.1,"Cinco adolescentes emocionalmente frágiles son enviadas a Blackwood, una misteriosa escuela para niñas superdotadas y perturbadas."
68,Crepúsculo La Saga: Amanecer - Parte 1 online,SAM13,117 MIN,"DE AVENTURAS, DRAMA",2011,SONIDO ENVOLVENTE 5.1,"Drama de fantasía protagonizada por Robert Pattinson y Kristen Stewart. Después de regresar de su Luna de miel, Bella y Edward se sorprenden al descubrir que están esperando un bebé. Las cosas pronto"
69,Grey Lady online,SAM16,109 MIN,MISTERIO/SUSPENSO,2017,SONIDO ENVOLVENTE 5.1,"Después de que su compañera policía y amante, fuera asesinada en Boston, el detective de homicidios James Doyle (Eric Dane) sigue una pista puesta en las últimas palabras de ella hasta la remota isla"
70,Escondida online,SAM13,88 MIN,"DRAMA, MISTERIO/SUSPENSO",2011,ESTÉREO,Una detective de Boston investiga los cuerpos momificados de seis mujeres.
71,47 Ronin online,SAM13,118 MIN,"ACCIÓN, DE AVENTURAS",2013,SONIDO ENVOLVENTE 5.1,"Después de que un traicionero caudillo mate a su señor y los destierre, 47 intrépidos samuráis juran vengarse y recobrar el honor de los suyos."
72,Jigsaw: El juego continúa online,SAM16,91 MIN,DE TERROR,2017,SONIDO ENVOLVENTE 5.1,"Cadáveres se han estado apareciendo por toda la ciudad. Conforme la investigación avanza, las evidencias indican hacia un hombre: John Kramer. Pero ¿cómo puede ser esto? El hombre conocido como Jigsaw"
73,La Cumbre Escarlata online,SAM16,118 MIN,"DRAMA, DE TERROR",2015,SONIDO ENVOLVENTE 5.1,"Cuando un extraño seductor le roba el corazón, una joven mujer se deja llevar hasta una casa en la cima de una montaña de arcilla color rojo sangre, un lugar lleno de secretos que la perseguirán por"
74,El Justiciero online,SAM16,131 MIN,"ACCIÓN, DRAMA",2014,SONIDO ENVOLVENTE 5.1,Un ex-comando sale del retiro y pone sus habilidades especiales a trabajar para rescatar a una chica que está bajo el control de unos criminales rusos. What do you see when you look at me? Basada en
75,Punto ciego online,SAM16,95 MIN,"COMEDIA, DRAMA",2018,SONIDO ENVOLVENTE 5.1,Los amigos de toda la vida Daveed Diggs y Rafael Casal coescribieron y protagonizaron esta entretenida historia sobre las interacciones de las razas y clases en una Oakland en rápido crecimiento.
76,Los mensajeros online,SAM13,90 MIN,"DRAMA, DE TERROR",2007,ESTÉREO,"Una siniestra oscuridad invade una serena granja de girasoles en Dakota del Norte, y la familia Solomon está destrozada por la sospecha, el caos y el asesinato."
77,Enemigo invisible online,SAM16,102 MIN,"DRAMA, MISTERIO/SUSPENSO",2016,SONIDO ENVOLVENTE 5.1,"La coronel Katherine Powell dirige una misión secreta de drones para capturar a un grupo de terroristas que vive en una casa de seguridad en Narobi, Kenia. La situación escala de nivel cuando el"
78,Pobres divas online,SAM13,106 MIN,"COMEDIA, DRAMA",2011,ESTÉREO,"Nora y Mary Domínguez, dos hermanas que llevan una vida fácil y llena de lujos en Beverly Hills, lo pierden todo cuando su padre muere súbitamente. Las hermanas van a vivir con su tía a Los Ángeles"
79,Llámame Por Tu Nombre online,SAM16,131 MIN,"DRAMA, LITERARIA",2017,SONIDO ENVOLVENTE 5.1,"A mediados del esplendoroso verano de 1980 en Italia, Elio y Oliver descubren el maravilloso despertar del deseo que cambiara sus vidas por siempre."
80,De Tyler Perry: Las niñas de papá online,SAM13,100 MIN,"DRAMA, ROMÁNTICA",2007,ESTÉREO,"Una historia opuesta a la de Cenicienta, en la que una exitosa abogada (Union) se enamora de un mecánico (Elba) con problemas financieros y padre soltero de tres niñas."
81,El lado oscuro del deseo online,SAM16,99 MIN,MISTERIO/SUSPENSO,2015,SONIDO ENVOLVENTE 5.1,"Evan es un hombre casado cuya mujer e hijos están de viaje. Una noche lluviosa acoge a dos chicas que, aunque al principio se muestre reacio, lo seducen. Lo que todavía no sabe son los horribles"
